Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link,
source,Lint,Lint,Func as a spawning for upper bound,true,Name : &{lprog InitialPackages}(),20,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,39,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Func as a spawning for upper bound,true,Name : &{ssautil AllFunctions}(ssaprog),42,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,51,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,70,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,84,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Var as a spawning for upper bound,true,funcs,108,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Slice as a spawning for upper bound,true,Name : keys,114,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Slice as a spawning for upper bound,true,Name : jobs,122,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Integer as a add bound,true,1,123,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Go in for,false,,124,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,Lint,Lint,Slice as a spawning for upper bound,true,Name : jobs,136,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
