Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link,
openshift/source-to-image,TimeoutAfter,TimeoutAfter,A receive on a channel that could not be parsed by Gomela at position /var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example555750904/pkg/util/timeout.go:43:9 was found.,false,,0,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example555750904/pkg/util/timeout.go,https://github.com/openshift/source-to-image/blob/30d81a9440f30b472bb32e592b12c1a83a396edd//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example555750904/pkg/util/timeout.go#L0,
openshift/source-to-image,Execute,Execute,A receive was found on a channel that could not be parsed : /var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example555750904/pkg/build/strategies/sti/sti.go:720:3,false,,0,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example555750904/pkg/build/strategies/sti/sti.go,https://github.com/openshift/source-to-image/blob/30d81a9440f30b472bb32e592b12c1a83a396edd//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example555750904/pkg/build/strategies/sti/sti.go#L0,
rancher/os,run,run,Func as a chan bound,true,Name : len(lines),84,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go#L84,
rancher/os,run,run,len() as a chan bound,true,Name : len(lines),84,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go#L84,
rancher/os,run,run,Slice as a spawning for upper bound,true,Name : lines,86,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go#L86,
rancher/os,run,run,Go in for,false,,90,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go#L90,
rancher/os,run,run,Func as a for upper bound,false,Name : len(lines),93,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go#L93,
rancher/os,run,run,len() as a for upper bound,false,Name : len(lines),93,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go#L93,
rancher/os,run,run,Integer as a for lower bound,false,0,93,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/respawn/respawn.go#L93,
rancher/os,selectDatasource,selectDatasource,Slice as a spawning for upper bound,true,Name : sources,318,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/cloudinitsave/cloudinitsave.go#L318,
rancher/os,selectDatasource,selectDatasource,Integer as a add bound,true,1,319,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/cloudinitsave/cloudinitsave.go#L319,
rancher/os,selectDatasource,selectDatasource,Go in for,false,,320,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example090115562/cmd/cloudinitsave/cloudinitsave.go#L320,
rcrowley/go-metrics,LogScaled,LogScaled,Func as a spawning for upper bound,true,Name : &{time Tick}(freq),27,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example923257516/log.go,https://github.com/rcrowley/go-metrics/blob/10cdbea86bc0b922507ce91d43f4f78a5bea2e8f//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example923257516/log.go#L27,
rcrowley/go-metrics,LogScaled,LogScaled,Could not parse the name of the function at pos /var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example923257516/log.go:27:17,false,,0,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example923257516/log.go,https://github.com/rcrowley/go-metrics/blob/10cdbea86bc0b922507ce91d43f4f78a5bea2e8f//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example923257516/log.go#L0,
jordan-wright/email,NewPool,NewPool,Var as a chan bound,true,count,52,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example046134432/pool.go,https://github.com/jordan-wright/email/blob/e1c00e1569805c0f6812a42b0f9236b3a39a85d6//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example046134432/pool.go#L52,
perkeep/perkeep,StatBlobs,StatBlobs,Slice as a spawning for upper bound,true,Name : blobs,155,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/f2e7add71bf7d7fdc0d8d8060171e41c238e166a//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go#L155,
perkeep/perkeep,ReceiveBlob,ReceiveBlob,Var as a chan bound,true,nReplicas,202,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/f2e7add71bf7d7fdc0d8d8060171e41c238e166a//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go#L202,
perkeep/perkeep,ReceiveBlob,ReceiveBlob,Go in for,false,,210,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/f2e7add71bf7d7fdc0d8d8060171e41c238e166a//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go#L210,
perkeep/perkeep,ReceiveBlob,ReceiveBlob,Slice as a spawning for upper bound,true,Name : fails,232,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/f2e7add71bf7d7fdc0d8d8060171e41c238e166a//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go#L232,
perkeep/perkeep,RemoveBlobs,RemoveBlobs,Go in for,false,,247,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/f2e7add71bf7d7fdc0d8d8060171e41c238e166a//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/replica/replica.go#L247,
perkeep/perkeep,batchedShards,batchedShards,Slice as a spawning for upper bound,true,Name : blobs,89,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/shard/shard.go,https://github.com/perkeep/perkeep/blob/f2e7add71bf7d7fdc0d8d8060171e41c238e166a//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example950889170/pkg/blobserver/shard/shard.go#L89,
