Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link
source,main_Execute11,Execute,Candidate Param,true,c_Args_Paths,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,new channel,false,Name :issuec,16,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,new channel,false,Name :quitc,17,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Anonymous0,Candidate Param,false,ub_for19_1,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,new WaitGroup,false,Name :wg,34,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,Comm Param,true,1,91,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,Integer as a add bound,true,1,91,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,Add in for,true,,91,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Anonymous1,Candidate Param,false,prependLabelToStrings10529,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Anonymous1,Done in for,false,,93,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Anonymous1,Comm Param,false,prependLabelToStrings10529,105,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Anonymous1,Func as a range bound,false,prependLabelToStrings(path.issues),105,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,Candidate Param,true,ub_for37_2,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,For loop not well formed,false,Init : <nil> Cond : &{0xc0033a40c0 3178157 [] 0 3178158} Post : <nil>,37,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,Comm Param,true,c_Args_Paths,35,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
source,main_Execute11,Execute,Struct as a spawning range bound,true,UNSUPPORTED,35,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go
