Model, Opt, #states, Time (ms), Channel Safety Error, Global Deadlock, Error, Comm param info,
goreporter:copycheck_filesFeed.pml,0,9,0,false,true,,,
goreporter:engine_Compute.pml,0,8,0,false,false,,Compute_parameters_UnitTestDirs = 0,,
goreporter:engine_Compute.pml,0,19,0,false,false,,Compute_parameters_UnitTestDirs = 1,,
goreporter:engine_Compute.pml,0,99,0,false,false,,Compute_parameters_UnitTestDirs = 3,,
goreporter:errorcheck_CheckPackages.pml,0,13,0,false,false,,CheckPackages_program_InitialPackages18426 = 0,,
goreporter:errorcheck_CheckPackages.pml,0,87,0,false,false,,CheckPackages_program_InitialPackages18426 = 3,,
goreporter:errorcheck_CheckPackages.pml,0,23,0,false,false,,CheckPackages_program_InitialPackages18426 = 1,,
goreporter:foo_fn.pml,0,16,0,false,false,,,
goreporter:functions_Get.pml,0,11,0,false,true,,,
goreporter:lint_Lint.pml,0,19,0,false,false,,Lint_jobs = 1,,
goreporter:lint_Lint.pml,0,8,0,false,false,,Lint_jobs = 0,,
goreporter:lint_Lint.pml,0,89,0,false,false,,Lint_jobs = 3,,
goreporter:lint_NodeFns.pml,0,806,0,false,false,,NodeFns_runtime_NumCPU48653 = 0,NodeFns_pkgs = 3,,
goreporter:lint_NodeFns.pml,0,70,0,false,false,,NodeFns_runtime_NumCPU48653 = 0,NodeFns_pkgs = 0,,
goreporter:lint_NodeFns.pml,0,4498,0,false,false,,NodeFns_runtime_NumCPU48653 = 1,NodeFns_pkgs = 3,,
goreporter:lint_NodeFns.pml,0,75,0,false,false,,NodeFns_runtime_NumCPU48653 = 1,NodeFns_pkgs = 0,,
goreporter:lint_NodeFns.pml,0,246,0,false,false,,NodeFns_runtime_NumCPU48653 = 1,NodeFns_pkgs = 1,,
goreporter:lint_NodeFns.pml,0,106,0,false,false,,NodeFns_runtime_NumCPU48653 = 0,NodeFns_pkgs = 1,,
goreporter:lint_NodeFns.pml,0,5020,0,false,false,,NodeFns_runtime_NumCPU48653 = 3,NodeFns_pkgs = 3,,
goreporter:lint_NodeFns.pml,0,75,0,false,false,,NodeFns_runtime_NumCPU48653 = 3,NodeFns_pkgs = 0,,
goreporter:lint_NodeFns.pml,0,246,0,false,false,,NodeFns_runtime_NumCPU48653 = 3,NodeFns_pkgs = 1,,
goreporter:ssa_Build.pml,0,8,0,false,false,,Build_prog_packages = 0,,
goreporter:ssa_Build.pml,0,144,0,false,false,,Build_prog_packages = 3,,
goreporter:ssa_Build.pml,0,25,0,false,false,,Build_prog_packages = 1,,
goreporter:staticcheck_Init.pml,0,8,0,false,false,,Init_prog_Prog_AllPackages = 0,,
goreporter:staticcheck_Init.pml,0,19,0,false,false,,Init_prog_Prog_AllPackages = 1,,
goreporter:staticcheck_Init.pml,0,99,0,false,false,,Init_prog_Prog_AllPackages = 3,,
goreporter:suffixtree_FindDuplOver.pml,0,12,0,false,false,,,
