Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Func as a spawning for upper bound,true,Name : &{lprog InitialPackages}(),143,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L143,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,162,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L162,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Func as a spawning for upper bound,true,Name : &{ssautil AllFunctions}(ssaprog),165,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L165,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,174,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L174,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,193,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L193,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Slice as a spawning for upper bound,true,Name : pkgs,207,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L207,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Map as a spawning for upper bound,true,Name : map[string]_/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint.Func,231,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L231,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Slice as a spawning for upper bound,true,Name : keys,237,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L237,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Slice as a spawning for upper bound,true,Name : jobs,245,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L245,
360EntSecGroup-Skylar/goreporter,Lint,Lint,Integer as a add bound,true,1,246,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go,https://github.com/360EntSecGroup-Skylar/goreporter/blob/df1b20f7c5d0f3538a3dc2cc04f68c59ba177fc5//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example035489427/linters/simpler/lint/lint.go#L246,
