Project, Fun, Type, Info, Line Num, Filename, Link,
ansible-semaphore/semaphore,run,Go in for,,104,/tmp/clone-example595818974/api/tasks/pool.go,https://github.com/ansible-semaphore/semaphore/blob/3db758c066398e53b049c100afc6e89504cc52ac//tmp/clone-example595818974/api/tasks/pool.go#L104,
ansible-semaphore/semaphore,run,Go in for,,107,/tmp/clone-example595818974/api/tasks/pool.go,https://github.com/ansible-semaphore/semaphore/blob/3db758c066398e53b049c100afc6e89504cc52ac//tmp/clone-example595818974/api/tasks/pool.go#L107,
perkeep/perkeep,anyZipPacks,Integer as a chan bound,Name : &{6471619 INT 1},778,/tmp/clone-example393018868/pkg/blobserver/blobpacked/blobpacked.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/blobpacked/blobpacked.go#L778,
perkeep/perkeep,ReceiveBlob,Candidate param,Name : nReplicas, Mandatory : true,202,/tmp/clone-example393018868/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/replica/replica.go#L202,
perkeep/perkeep,ReceiveBlob,Integer as a chan bound,Name : nReplicas,202,/tmp/clone-example393018868/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/replica/replica.go#L202,
perkeep/perkeep,ReceiveBlob,Go in for,,210,/tmp/clone-example393018868/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/replica/replica.go#L210,
perkeep/perkeep,RemoveBlobs,Candidate param,Name : buffered, Mandatory : true,242,/tmp/clone-example393018868/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/replica/replica.go#L242,
perkeep/perkeep,RemoveBlobs,Integer as a chan bound,Name : buffered,242,/tmp/clone-example393018868/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/replica/replica.go#L242,
perkeep/perkeep,RemoveBlobs,Go in for,,247,/tmp/clone-example393018868/pkg/blobserver/replica/replica.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/replica/replica.go#L247,
perkeep/perkeep,Fetch,Candidate param,Name : subsets_sto, Mandatory : true,73,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L73,
perkeep/perkeep,Fetch,Func as a chan bound,Name : len(&{sto subsets}),73,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L73,
perkeep/perkeep,Fetch,len() as a chan bound,Name : len(&{sto subsets}),73,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L73,
perkeep/perkeep,Fetch,Integer as a add bound,Name : &{5696509 INT 1},77,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L77,
perkeep/perkeep,Fetch,Go in for,,78,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L78,
perkeep/perkeep,StatBlobs,Integer as a chan bound,Name : &{5697434 INT 1},120,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L120,
perkeep/perkeep,StatBlobs,Integer as a add bound,Name : &{5697579 INT 1},126,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L126,
