Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link
getgauge/gauge,infoGatherer++watchForFileChanges431,watchForFileChanges,MODEL ERROR = A receive was found on a channel that could not be parsed at pos: /Users/redfloyd/go/src/github.com/nicolasdilley/projects/getgauge--gauge/api/infoGatherer/specDetails.go:444:20,false,,0,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/api/infoGatherer/specDetails.go#L431,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,execution++startRunnersForRemainingStreams102,startRunnersForRemainingStreams,MODEL ERROR = A send on a channel was found that could not be parsed at pos: /Users/redfloyd/go/src/github.com/nicolasdilley/projects/getgauge--gauge/execution/parallelExecution.go:109:5,false,,0,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/execution/parallelExecution.go#L102,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,conn++acceptConnectionWithoutTimeout68,acceptConnectionWithoutTimeout,new channel,false,Name :errChannel,69,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/conn/connectionHandler.go#L68,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,conn++acceptConnectionWithoutTimeout68,acceptConnectionWithoutTimeout,new channel,false,Name :connectionChannel,70,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/conn/connectionHandler.go#L68,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++executeMessage177,executeMessage,new channel,false,Name :resChan,178,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L177,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++executeMessage177,executeMessage,new channel,false,Name :errChan,179,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L177,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++Kill238,Kill,Comm Param,true,1,255,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L238,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++Kill238,Kill,Integer as a chan bound,true,1,255,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L238,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++Kill238,Kill,new channel,false,Name :exited,255,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L238,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++Kill238,Anonymous1,Candidate Param,false,ub_for257_0,0,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L238,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++StartGrpcRunner302,StartGrpcRunner,new channel,false,Name :portChan,303,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L302,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++StartGrpcRunner302,StartGrpcRunner,new channel,false,Name :errChan,304,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/grpcRunner.go#L302,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++Kill74,Kill,Comm Param,true,1,255,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/legacyRunner.go#L74,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++Kill74,Kill,Integer as a chan bound,true,1,255,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/legacyRunner.go#L74,13a89591f46d174180de79a2fe3d16030bc9ec10
getgauge/gauge,runner++Kill74,Kill,new channel,false,Name :exited,255,https://github.com/getgauge/gauge/blob/13a89591f46d174180de79a2fe3d16030bc9ec10/runner/legacyRunner.go#L74,13a89591f46d174180de79a2fe3d16030bc9ec10
