Project, Channel safety score, Global deadlock score, Link 
kubernetes--contrib:helpers++DoParallelListContainerBenchmark212.pml,0,0,https://github.com/kubernetes/contrib/blob/89f6948e24578fed2a90a87871b2263729f90ac3/docker-micro-benchmark/helpers/docker_helpers.go#L212
hashicorp--packer:bsusurrogate++Run62.pml,0,0,https://github.com/hashicorp/packer/blob/94e22e666440c3ceb633cc0ea96d9a7f345d736e/builder/osc/bsusurrogate/step_snapshop_volumes.go#L62
keybase--client:libfs++Unlock187.pml,0,0,https://github.com/keybase/client/blob/cd76ccb97183c2be78b869fab9aed4b6f5b11086/go/kbfs/libfs/file.go#L187
weaveworks--scope:docker++StartGatheringStats134.pml,0,1,https://github.com/weaveworks/scope/blob/9aa9b1ae70bc40a765324152debf82e0ae0e2fce/probe/docker/container.go#L134
rakyll--boom:boomer++runWorkers149.pml,0,0,https://github.com/rakyll/boom/blob/e99ce27f0878c1d266c8a3c266029038e78c5380/boomer/boomer.go#L149
nsqio--nsq:clusterinfo++GetNSQDProducers343.pml,0,0,https://github.com/nsqio/nsq/blob/8adb229f70538c6f6554b98285a33552bcb5832c/internal/clusterinfo/data.go#L343
vitessio--vitess:vtadmin++GetTablets271.pml,0,0,https://github.com/vitessio/vitess/blob/d09dffef0c60d5d4841cac86bdf4ed777098b60a/go/vt/vtadmin/api.go#L271
github--orchestrator:inst++StartReplicas497.pml,0,0,https://github.com/github/orchestrator/blob/6105fd97bfceb293ac5ca1420e0ee01692ab3577/go/inst/instance_topology_dao.go#L497
keybase--client:libkb++HandleTeamExit2194.pml,0,0,https://github.com/keybase/client/blob/cd76ccb97183c2be78b869fab9aed4b6f5b11086/go/libkb/notify_router.go#L2194
github--orchestrator:logic++init75.pml,0,0,https://github.com/github/orchestrator/blob/6105fd97bfceb293ac5ca1420e0ee01692ab3577/go/logic/orchestrator.go#L75
google--go-cloud:azuresb++updateMessageDispositions531.pml,0,0,https://github.com/google/go-cloud/blob/6a098d97a8d8c32e34a0058ffccb8e72f15163c9/pubsub/azuresb/azuresb.go#L531
jpmorganchase--quorum:ethash++generateDataset267.pml,0,0,https://github.com/jpmorganchase/quorum/blob/7b726385216c44e55fc6b6191a022fe598c102d4/consensus/ethash/algorithm.go#L267
uber--prototool:protoc++Compile103.pml,0,0.2222222222222222,https://github.com/uber/prototool/blob/a6d064684c011c8482f4218c681a66a64031fb1d/internal/protoc/compiler.go#L103
mattermost--mattermost-server:sqlstore++GetThreadsForUser111.pml,0,0,https://github.com/mattermost/mattermost-server/blob/caeda90b246b2830ffc29901efce685a08d638fa/store/sqlstore/thread_store.go#L111
dzhou121--gonvim:editor++drawBorder219.pml,0,0,https://github.com/dzhou121/gonvim/blob/c264bb83afbfe10c2d4991037142c169ce6519c3/editor/screen.go#L219
CodisLabs--codis:topom++newRedisStats27.pml,0,0,https://github.com/CodisLabs/codis/blob/de1ad026e329561c22e2a3035fbfe89dc7fef764/pkg/topom/topom_stats.go#L27
open-policy-agent--opa:e2e++runTests190.pml,0,1,https://github.com/open-policy-agent/opa/blob/a2d14c214cc298b339ba48164d7759900589eb64/test/e2e/testing.go#L190
go-gitea--gitea:git++GetCommitFileStatus494.pml,0,1,https://github.com/go-gitea/gitea/blob/127907c5e66d671b139a8d2bd8912911c7e58347/modules/git/commit.go#L494
fabiolb--fabio:proxy++Shutdown58.pml,0,0,https://github.com/fabiolb/fabio/blob/b8d800f880bd4109ad899fb49cf7398f1f90fe33/proxy/serve.go#L58
kubeless--kubeless:function++doTop76.pml,0,0,https://github.com/kubeless/kubeless/blob/579f848592d65eb7b0d069280c489cbfc65d45a3/cmd/kubeless/function/top.go#L76
keybase--client:libkb++HandleFSEditListResponse744.pml,0,0,https://github.com/keybase/client/blob/cd76ccb97183c2be78b869fab9aed4b6f5b11086/go/libkb/notify_router.go#L744
zyedidia--micro:shell++init11.pml,0,0,https://github.com/zyedidia/micro/blob/cf35b8021c9032b83f8a3158a045ab2429530ce4/internal/shell/job.go#L11
vitessio--vitess:wrangler++forAllUids1386.pml,0,0,https://github.com/vitessio/vitess/blob/d09dffef0c60d5d4841cac86bdf4ed777098b60a/go/vt/wrangler/traffic_switcher.go#L1386
kubernetes--client-go:pager++eachListChunkBuffered170.pml,0,0,https://github.com/kubernetes/client-go/blob/fc034b4b7616a76e021660b265df0211e060f6b6/tools/pager/pager.go#L170
getlantern--lantern:netx++BidiCopy19.pml,0,0,https://github.com/getlantern/lantern/blob/c972d9c24cf83d18709fa1eb29079f28c3d620c9/archive/src/github.com/getlantern/netx/copy.go#L19
vektah--gqlgen:testexecutor++NewError97.pml,0,0,https://github.com/vektah/gqlgen/blob/997da421b0b80884fcb43c8c6a22d747564b301c/graphql/executor/testexecutor/testexecutor.go#L97
influxdata--telegraf:tengine++Gather53.pml,0,0,https://github.com/influxdata/telegraf/blob/6ed1431348c200760443c2a0422b0d54bea927ec/plugins/inputs/tengine/tengine.go#L53
hashicorp--packer:ncloud++terminateServerInstance32.pml,0,0,https://github.com/hashicorp/packer/blob/94e22e666440c3ceb633cc0ea96d9a7f345d736e/builder/ncloud/step_terminate_server_instance.go#L32
containerd--containerd:process++cancel366.pml,0,0,https://github.com/containerd/containerd/blob/66fec3bbbf91520a1433faa16e99e5a314a61902/pkg/process/io.go#L366
influxdata--telegraf:jenkins++gatherJobs277.pml,0,0,https://github.com/influxdata/telegraf/blob/6ed1431348c200760443c2a0422b0d54bea927ec/plugins/inputs/jenkins/jenkins.go#L277
coreos--etcd:main++randomBlackhole154.pml,0,0,https://github.com/coreos/etcd/blob/bb71f706a687139d431edb72f1b4d4a79085345d/tools/local-tester/bridge/bridge.go#L154
wallix--awless:awsfetch++forEachBucketParallel18.pml,0,0,https://github.com/wallix/awless/blob/44e892b4961fc09abf82f61de2ffeb66a20c82b7/aws/fetch/s3_helpers.go#L18
keybase--client:chat++identify556.pml,0,0,https://github.com/keybase/client/blob/cd76ccb97183c2be78b869fab9aed4b6f5b11086/go/chat/teams.go#L556
vmware--harbor:chartserver++DeleteChart37.pml,0.7777777777777778,0.2222222222222222,https://github.com/vmware/harbor/blob/42559479e629a4f9c7b4f9cb1da152919aba444f/src/chartserver/handler_utility.go#L37
ncw--rclone:cache++cacheReader1361.pml,1,0,https://github.com/ncw/rclone/blob/80e63af4703730923a97b65fae4d5b712de846c9/backend/cache/cache.go#L1361
openshift--origin:util++WaitForAnImageStreamTag1072.pml,0,1,https://github.com/openshift/origin/blob/56333ce08d76ca93e3930a2eeb1445fdd337de39/test/extended/util/framework.go#L1072
ChimeraCoder--anaconda:anaconda++NewTwitterApi107.pml,0,0,https://github.com/ChimeraCoder/anaconda/blob/fba449f7b405a61af4f8a9246bd557f9625bd7be/twitter.go#L107
mattermost--mattermost-server:app++createDirectChannel363.pml,0,0,https://github.com/mattermost/mattermost-server/blob/caeda90b246b2830ffc29901efce685a08d638fa/app/channel.go#L363
golang--tools:lsp++diagnoseChangedFiles104.pml,0,0,https://github.com/golang/tools/blob/e0d201561e39aeaab8136532f2bbe17ae1ef24ff/internal/lsp/diagnostics.go#L104
moby--moby:archive++collectFileInfoForChanges15.pml,0,0,https://github.com/moby/moby/blob/0456e058d2b60606d4374cd975c635dfe7673f17/pkg/archive/changes_other.go#L15
ginuerzh--gost:gost++transportUDP418.pml,0,1,https://github.com/ginuerzh/gost/blob/1a56a878ac446d9cfc14a1c7fb11ef43d8dc61f4/ss.go#L418
fabiolb--fabio:proxy++Shutdown85.pml,0,0,https://github.com/fabiolb/fabio/blob/b8d800f880bd4109ad899fb49cf7398f1f90fe33/proxy/inetaf_tcpproxy.go#L85
ardanlabs--gotraining:freq++ConcurrentBoundedChannel92.pml,0,0,https://github.com/ardanlabs/gotraining/blob/2a8609213c14c6f4a048c95daad0bc31ba5f4db1/topics/go/algorithms/fun/freq/freq.go#L92
