Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link
source,main--NewLoadBalancer8,NewLoadBalancer,new channel,false,Name :errChan,25,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous0,Actual Param,false,errChan,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous0,Range over Chan,,,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,NewLoadBalancer,new channel,false,Name :lbUpdateChan,32,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,NewLoadBalancer,new channel,false,Name :proxyNetworkCleanupChan,34,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous1,Struct as a range bound,false,UNSUPPORTED,97,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous1,Var as a range bound,false,Name :nc,89,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous1,Candidate Param,false,ub_for84_1,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous2,Actual Param,false,lbUpdateChan,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous2,Map as a range bound,false,map[string]string,201,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous2,Var as a range bound,false,Name :proxyContainers,196,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
source,main--NewLoadBalancer8,Anonymous2,Range over Chan,,,0,/Users/redfloyd/go/src/github.com/nicolasdilley/gomela/source/hello.go,
