Project, Model, Fun, Type, Mandatory, Info, Line Num, Filename, Link,
openshift/source-to-image,TimeoutAfter,TimeoutAfter,A receive on a channel that could not be parsed by Gomela at position /var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example612114757/pkg/util/timeout.go:43:9 was found.,false,,0,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example612114757/pkg/util/timeout.go,https://github.com/openshift/source-to-image/blob/30d81a9440f30b472bb32e592b12c1a83a396edd//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example612114757/pkg/util/timeout.go#L0,
openshift/source-to-image,Execute,Execute,A receive was found on a channel that could not be parsed : /var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example612114757/pkg/build/strategies/sti/sti.go:720:3,false,,0,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example612114757/pkg/build/strategies/sti/sti.go,https://github.com/openshift/source-to-image/blob/30d81a9440f30b472bb32e592b12c1a83a396edd//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example612114757/pkg/build/strategies/sti/sti.go#L0,
rancher/os,run,run,Func as a chan bound,true,Name : len(lines),84,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go#L84,
rancher/os,run,run,len() as a chan bound,true,Name : len(lines),84,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go#L84,
rancher/os,run,run,Slice as a spawning for upper bound,true,Name : lines,86,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go#L86,
rancher/os,run,run,Go in for,false,,90,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go#L90,
rancher/os,run,run,Func as a for upper bound,false,Name : len(lines),93,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go#L93,
rancher/os,run,run,len() as a for upper bound,false,Name : len(lines),93,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go#L93,
rancher/os,run,run,Integer as a for lower bound,false,0,93,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/respawn/respawn.go#L93,
rancher/os,selectDatasource,selectDatasource,Slice as a spawning for upper bound,true,Name : sources,318,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/cloudinitsave/cloudinitsave.go,https://github.com/rancher/os/blob/b3d0b298c54ae6452906c61b44ecfab696f073f1//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example934551999/cmd/cloudinitsave/cloudinitsave.go#L318,
