Model, Opt, #states, Time (ms), Channel Safety Error, Global Deadlock, Error, Comm param info,
erroneousboat--slack-term:service++GetChannels77.pml,0,10,4479,false,false,,,
tj--mmake:installer++Install61.pml,0,16,4635,false,false,,Install_paths = 0,,
tj--mmake:installer++Install61.pml,0,75,4985,false,false,,Install_paths = 1,,
tj--mmake:installer++Install61.pml,0,3510,4757,false,false,,Install_paths = 3,,
ehazlett--interlock:lb++NewLoadBalancer74.pml,0,14,6571,false,true,,,
grafana--grafana:backendplugin++stop151.pml,0,9,4882,false,false,,stop_m_plugins = 0,,
grafana--grafana:backendplugin++stop151.pml,0,21,4452,false,false,,stop_m_plugins = 1,,
grafana--grafana:backendplugin++stop151.pml,0,97,4343,false,false,,stop_m_plugins = 3,,
grafana--grafana:sqleng++Query131.pml,0,9,4350,false,false,,Query_tsdbQuery_Queries = 0,,
grafana--grafana:sqleng++Query131.pml,0,36,4278,false,false,,Query_tsdbQuery_Queries = 1,,
grafana--grafana:sqleng++Query131.pml,0,161,4314,false,false,,Query_tsdbQuery_Queries = 3,,
nsqio--nsq:clusterinfo++GetLookupdProducers170.pml,0,11,4510,false,false,,GetLookupdProducers_lookupdHTTPAddrs = 0,,
nsqio--nsq:clusterinfo++GetLookupdProducers170.pml,0,24,4092,false,false,,GetLookupdProducers_lookupdHTTPAddrs = 1,,
nsqio--nsq:clusterinfo++GetLookupdProducers170.pml,0,106,4583,false,false,,GetLookupdProducers_lookupdHTTPAddrs = 3,,
nsqio--nsq:clusterinfo++GetLookupdTopicChannels122.pml,0,11,4126,false,false,,GetLookupdTopicChannels_lookupdHTTPAddrs = 0,,
nsqio--nsq:clusterinfo++GetLookupdTopicChannels122.pml,0,24,4192,false,false,,GetLookupdTopicChannels_lookupdHTTPAddrs = 1,,
nsqio--nsq:clusterinfo++GetLookupdTopicChannels122.pml,0,106,4120,false,false,,GetLookupdTopicChannels_lookupdHTTPAddrs = 3,,
nsqio--nsq:clusterinfo++GetLookupdTopicProducers240.pml,0,11,4100,false,false,,GetLookupdTopicProducers_lookupdHTTPAddrs = 0,,
